"","Group","Whitehall","Gender","Date","Civil.Service.grad","count","total","share","grp"
"258","DCLG","NWH","Female",2011,"G6/G7",80,2070,0.0386473429951691,"DCLGFemale"
"259","DCLG","NWH","Female",2011,"SEO/HEO",180,2070,0.0869565217391304,"DCLGFemale"
"260","DCLG","NWH","Female",2011,"SCS",0,2070,0,"DCLGFemale"
"261","DCLG","NWH","Female",2012,"AO/AA",150,890,0.168539325842697,"DCLGFemale"
"262","DCLG","NWH","Female",2012,"EO",90,890,0.101123595505618,"DCLGFemale"
"263","DCLG","NWH","Female",2012,"G6/G7",60,890,0.0674157303370786,"DCLGFemale"
"264","DCLG","NWH","Female",2012,"SEO/HEO",60,890,0.0674157303370786,"DCLGFemale"
"265","DCLG","NWH","Female",2012,"SCS",0,890,0,"DCLGFemale"
"266","DCLG","NWH","Female",2013,"AO/AA",130,780,0.166666666666667,"DCLGFemale"
"267","DCLG","NWH","Female",2013,"EO",70,780,0.0897435897435897,"DCLGFemale"
"268","DCLG","NWH","Female",2013,"G6/G7",90,780,0.115384615384615,"DCLGFemale"
"269","DCLG","NWH","Female",2013,"SEO/HEO",50,780,0.0641025641025641,"DCLGFemale"
"270","DCLG","NWH","Female",2013,"SCS",0,780,0,"DCLGFemale"
"271","DCLG","NWH","Male",2008,"AO/AA",210,2560,0.08203125,"DCLGMale"
"272","DCLG","NWH","Male",2008,"EO",650,2560,0.25390625,"DCLGMale"
"273","DCLG","NWH","Male",2008,"G6/G7",380,2560,0.1484375,"DCLGMale"
"274","DCLG","NWH","Male",2008,"SEO/HEO",500,2560,0.1953125,"DCLGMale"
"275","DCLG","NWH","Male",2008,"SCS",10,2560,0.00390625,"DCLGMale"
"276","DCLG","NWH","Male",2009,"AO/AA",190,2550,0.0745098039215686,"DCLGMale"
"277","DCLG","NWH","Male",2009,"EO",630,2550,0.247058823529412,"DCLGMale"
"278","DCLG","NWH","Male",2009,"G6/G7",400,2550,0.156862745098039,"DCLGMale"
"279","DCLG","NWH","Male",2009,"SEO/HEO",510,2550,0.2,"DCLGMale"
"280","DCLG","NWH","Male",2009,"SCS",10,2550,0.00392156862745098,"DCLGMale"
"281","DCLG","NWH","Male",2010,"AO/AA",180,2280,0.0789473684210526,"DCLGMale"
"282","DCLG","NWH","Male",2010,"EO",580,2280,0.254385964912281,"DCLGMale"
"283","DCLG","NWH","Male",2010,"G6/G7",370,2280,0.162280701754386,"DCLGMale"
"284","DCLG","NWH","Male",2010,"SEO/HEO",440,2280,0.192982456140351,"DCLGMale"
"285","DCLG","NWH","Male",2010,"SCS",10,2280,0.0043859649122807,"DCLGMale"
"286","DCLG","NWH","Male",2011,"AO/AA",150,2070,0.072463768115942,"DCLGMale"
"287","DCLG","NWH","Male",2011,"EO",530,2070,0.256038647342995,"DCLGMale"
"288","DCLG","NWH","Male",2011,"G6/G7",290,2070,0.140096618357488,"DCLGMale"
"289","DCLG","NWH","Male",2011,"SEO/HEO",420,2070,0.202898550724638,"DCLGMale"
"290","DCLG","NWH","Male",2011,"SCS",10,2070,0.00483091787439614,"DCLGMale"
"291","DCLG","NWH","Male",2012,"AO/AA",140,890,0.157303370786517,"DCLGMale"
"292","DCLG","NWH","Male",2012,"EO",80,890,0.0898876404494382,"DCLGMale"
"293","DCLG","NWH","Male",2012,"G6/G7",200,890,0.224719101123595,"DCLGMale"
"294","DCLG","NWH","Male",2012,"SEO/HEO",100,890,0.112359550561798,"DCLGMale"
"295","DCLG","NWH","Male",2012,"SCS",0,890,0,"DCLGMale"
"296","DCLG","NWH","Male",2013,"AO/AA",100,780,0.128205128205128,"DCLGMale"
"297","DCLG","NWH","Male",2013,"EO",80,780,0.102564102564103,"DCLGMale"
"298","DCLG","NWH","Male",2013,"G6/G7",200,780,0.256410256410256,"DCLGMale"
"299","DCLG","NWH","Male",2013,"SEO/HEO",60,780,0.0769230769230769,"DCLGMale"
"300","DCLG","NWH","Male",2013,"SCS",10,780,0.0128205128205128,"DCLGMale"
"301","DCLG","WH","Female",2008,"AO/AA",280,2990,0.0936454849498328,"DCLGFemale"
"302","DCLG","WH","Female",2008,"EO",320,2990,0.107023411371237,"DCLGFemale"
"303","DCLG","WH","Female",2008,"G6/G7",300,2990,0.100334448160535,"DCLGFemale"
"304","DCLG","WH","Female",2008,"SEO/HEO",520,2990,0.173913043478261,"DCLGFemale"
"305","DCLG","WH","Female",2008,"SCS",80,2990,0.0267558528428094,"DCLGFemale"
"306","DCLG","WH","Female",2009,"AO/AA",180,2530,0.0711462450592885,"DCLGFemale"
"307","DCLG","WH","Female",2009,"EO",270,2530,0.106719367588933,"DCLGFemale"
"308","DCLG","WH","Female",2009,"G6/G7",300,2530,0.118577075098814,"DCLGFemale"
"309","DCLG","WH","Female",2009,"SEO/HEO",470,2530,0.185770750988142,"DCLGFemale"
"310","DCLG","WH","Female",2009,"SCS",50,2530,0.0197628458498024,"DCLGFemale"
"311","DCLG","WH","Female",2010,"AO/AA",180,2640,0.0681818181818182,"DCLGFemale"
"312","DCLG","WH","Female",2010,"EO",240,2640,0.0909090909090909,"DCLGFemale"
"313","DCLG","WH","Female",2010,"G6/G7",310,2640,0.117424242424242,"DCLGFemale"
