"","Group","Date","Civil.Service.grad","Disability.statu","count","total","share","sorter","totalgroup","grp","yvar"
"157","HMT",2008,"SCS","Disabled",0,80,0,0.0695652173913043,FALSE,"HMTSCS",0
"158","HMT",2009,"SCS","Disabled",0,60,0,0.0695652173913043,FALSE,"HMTSCS",0
"159","HMT",2008,"All grades","Disabled",60,990,0.0606060606060606,0.0695652173913043,FALSE,"HMTAll grades",0.0606060606060606
"160","HMT",2011,"All grades","Disabled",70,1170,0.0598290598290598,0.0695652173913043,FALSE,"HMTAll grades",0.0598290598290598
"161","HMT",2010,"SCS","Disabled",0,120,0,0.0695652173913043,FALSE,"HMTSCS",0
"162","HMT",2009,"All grades","Disabled",60,1150,0.0521739130434783,0.0695652173913043,FALSE,"HMTAll grades",0.0521739130434783
"163","HMT",2012,"All grades","Disabled",60,950,0.0631578947368421,0.0695652173913043,FALSE,"HMTAll grades",0.0631578947368421
"164","HMT",2012,"SCS","Disabled",0,90,0,0.0695652173913043,FALSE,"HMTSCS",0
"165","HMT",2013,"All grades","Disabled",80,1150,0.0695652173913043,0.0695652173913043,FALSE,"HMTAll grades",0.0695652173913043
"166","HMT",2013,"SCS","Disabled",0,100,0,0.0695652173913043,FALSE,"HMTSCS",0
"167","HMT",2010,"All grades","Disabled",70,1240,0.0564516129032258,0.0695652173913043,FALSE,"HMTAll grades",0.0564516129032258
"168","HMT",2011,"SCS","Disabled",0,100,0,0.0695652173913043,FALSE,"HMTSCS",0
"169","HO",2008,"All grades","Disabled",460,17310,0.0265742345465049,0.0897703549060543,FALSE,"HOAll grades",0.0265742345465049
