"","Group","Date","Civil.Service.grad","Gender","count","total","share","grp","sorter","yvar"
"166","MOJ",2010,"All grades","Female",41100,85550,0.48042080654588,"MOJAll grades",0.472651356993737,0.48042080654588
"167","MOJ",2011,"SCS","Female",90,280,0.321428571428571,"MOJSCS",0.472651356993737,0.321428571428571
"168","MOJ",2011,"All grades","Female",40050,83420,0.480100695276912,"MOJAll grades",0.472651356993737,0.480100695276912
"169","MOJ",2012,"SCS","Female",70,210,0.333333333333333,"MOJSCS",0.472651356993737,0.333333333333333
"170","MOJ",2012,"All grades","Female",33960,71850,0.472651356993737,"MOJAll grades",0.472651356993737,0.472651356993737
"171","Whole Civil Service",2008,"SCS","Female",1520,4790,0.317327766179541,"Whole Civil ServiceSCS",0.313240478529735,0.317327766179541
"172","Whole Civil Service",2008,"All grades","Female",277830,525160,0.529038769137025,"Whole Civil ServiceAll grades",0.313240478529735,0.529038769137025
"173","Whole Civil Service",2009,"SCS","Female",1620,4920,0.329268292682927,"Whole Civil ServiceSCS",0.313240478529735,0.329268292682927
"174","Whole Civil Service",2009,"All grades","Female",278060,524420,0.530223866366653,"Whole Civil ServiceAll grades",0.313240478529735,0.530223866366653
"175","Whole Civil Service",2010,"SCS","Female",1730,5070,0.341222879684418,"Whole Civil ServiceSCS",0.313240478529735,0.341222879684418
"176","Whole Civil Service",2010,"All grades","Female",279820,527480,0.530484568135285,"Whole Civil ServiceAll grades",0.313240478529735,0.530484568135285
"177","Whole Civil Service",2011,"SCS","Female",1600,4610,0.3470715835141,"Whole Civil ServiceSCS",0.313240478529735,0.3470715835141
"178","Whole Civil Service",2011,"All grades","Female",264110,498430,0.529883835242662,"Whole Civil ServiceAll grades",0.313240478529735,0.529883835242662
"179","Whole Civil Service",2012,"SCS","Female",1550,4420,0.350678733031674,"Whole Civil ServiceSCS",0.313240478529735,0.350678733031674
"180","Whole Civil Service",2012,"All grades","Female",246100,463810,0.530605204717449,"Whole Civil ServiceAll grades",0.313240478529735,0.530605204717449
