"","Civil.Service.grad","gradeval","Group","Whitehall","Gender","Date","count","total","share","grp","sharebothgenders","gradescore","meangradescore","sorter","totalgroup","yvar"
"130","SCS",5,"HO","WH","Female",2013,-80,26450,-0.00302457466918715,"HOFemale",0.00831758034026465,0.0415879017013233,0.4165595463138,0.4165595463138,FALSE,-0.00302457466918715
"131","SCS",5,"HMRC","WH","Female",2013,-120,76700,-0.0015645371577575,"HMRCFemale",0.00430247718383312,0.0215123859191656,0.355645371577575,0.355645371577575,FALSE,-0.0015645371577575
"132","SCS",5,"DfT","WH","Female",2013,-40,1760,-0.0227272727272727,"DfTFemale",0.0681818181818182,0.340909090909091,0.644318181818182,0.644318181818182,FALSE,-0.0227272727272727
"133","SCS",5,"DfE","WH","Female",2013,-140,6530,-0.0214395099540582,"DfEFemale",0.0413476263399694,0.206738131699847,0.618376722817764,0.618376722817764,FALSE,-0.0214395099540582
"134","SCS",5,"MoJ","WH","Male",2013,70,4490,0.0155902004454343,"MoJMale",0.0267260579064588,0.133630289532294,0.517149220489978,0.517149220489978,FALSE,0.0155902004454343
"135","SCS",5,"HO","WH","Male",2013,140,26450,0.00529300567107751,"HOMale",0.00831758034026465,0.0415879017013233,0.4165595463138,0.4165595463138,FALSE,0.00529300567107751
"136","SCS",5,"HMRC","WH","Male",2013,210,76700,0.00273794002607562,"HMRCMale",0.00430247718383312,0.0215123859191656,0.355645371577575,0.355645371577575,FALSE,0.00273794002607562
"137","SCS",5,"DfT","WH","Male",2013,80,1760,0.0454545454545455,"DfTMale",0.0681818181818182,0.340909090909091,0.644318181818182,0.644318181818182,FALSE,0.0454545454545455
"138","SCS",5,"DfE","WH","Male",2013,130,6530,0.0199081163859112,"DfEMale",0.0413476263399694,0.206738131699847,0.618376722817764,0.618376722817764,FALSE,0.0199081163859112
"139","SCS",5,"Whitehall","Total","Female",2013,-1570,448830,-0.00349798364636945,"Whole Civil ServiceFemale",0.00966958536639708,0.0483479268319854,0.388400953590446,0.388400953590446,TRUE,-0.00349798364636945
"140","SCS",5,"MoD","WH","Female",2013,-60,58440,-0.00102669404517454,"MoDFemale",0.00444900752908966,0.0222450376454483,0.393463381245722,0.393463381245722,FALSE,-0.00102669404517454
"141","SCS",5,"HMT","WH","Female",2013,-50,1240,-0.0403225806451613,"HMTFemale",0.0967741935483871,0.483870967741935,0.656451612903226,0.656451612903226,FALSE,-0.0403225806451613
"142","SCS",5,"FCO","WH","Female",2013,-100,4840,-0.0206611570247934,"FCOFemale",0.0847107438016529,0.423553719008264,0.574793388429752,0.574793388429752,FALSE,-0.0206611570247934
"143","SCS",5,"DfID","WH","Female",2013,-30,1810,-0.0165745856353591,"DfIDFemale",0.0441988950276243,0.220994475138122,0.681767955801105,0.681767955801105,FALSE,-0.0165745856353591
"144","SCS",5,"Whitehall","Total","Male",2013,2770,448830,0.00617160172002763,"Whole Civil ServiceMale",0.00966958536639708,0.0483479268319854,0.388400953590446,0.388400953590446,TRUE,0.00617160172002763
"145","SEO/HEO",3,"CO","WH","Male",2013,290,1840,0.157608695652174,"COMale",0.326086956521739,0.978260869565217,0.647826086956522,0.647826086956522,FALSE,0.157608695652174
